article_id,new_general_yi,new_special_yi,refinance_yi
63464,0.0,0.0,12.62
63463,0.0,0.0,0.0
63462,0.0,0.0,0.0
63457,0.0,0.0,0.0
63455,0.0,0.0,0.0
63673,0.0,0.0,0.0
63772,223.0,338.24,451.13
68760,0.0,0.0,0.0
63450,200.0,400.0,50.0
63448,0.0,0.0,56.0
63446,0.0,0.0,0.0
63441,0.0,0.0,0.0
63435,0.0,0.0,0.0
63430,0.0,0.0,0.0
63387,0.0,0.0,0.0
65007,9.88,0.0,38.49
64992,0.0,0.0,323.0
64963,0.0,0.0,0.0
63703,0.0,79.0,43.17
63693,128.0,0.0,2.0
63690,117.0,80.0,565.0
63689,0.0,0.0,0.0
63718,125.0,227.0,0.0
63666,0.0,0.0,404.7
63660,0.0,0.0,0.0
63651,104.0,556.0,29.94
63648,99.22,0.0,243.0
63643,0.0,0.0,249.0
64962,0.0,0.0,0.0
64909,0.0,0.0,137.0
64908,0.0,0.0,0.0
64907,0.0,0.0,0.0
64906,0.0,0.0,0.0
64905,0.0,0.0,0.0
64904,0.0,0.0,0.0
64903,0.0,0.0,0.0
64893,0.0,36.06,191.3
64889,0.0,0.0,0.0
64888,0.0,0.0,0.0
64870,0.0,62.2,0.0
64844,0.0,0.0,0.0
64823,0.0,0.0,0.0
64822,0.0,51.1,144.0
64821,0.0,41.0,40.5
63570,0.0,0.0,200.0
63563,0.0,0.0,496.0
63542,0.0,846.36,0.0
63447,0.0,0.0,0.0
63444,30.66,0.0,901.02
63443,0.0,0.0,195.05
63442,92.94,166.63,37.27
63363,0.0,0.0,564.0
63336,0.0,0.0,0.0
63268,0.0,0.0,892.0
63256,0.0,0.0,235.78
63221,0.0,8.14,129.68
63192,0.0,0.0,0.0
63190,0.0,0.0,0.0
63182,0.0,0.0,72.39
63672,0.78,0.0,635.0
63188,0.0,61.0,0.0
63194,3.0,0.0,404.0
63171,,,
63170,0.0,0.0,980.0
63167,0.0,0.0,390.46
63165,24.98,0.0,73.0
63784,123.28,0.0,1.0
63156,0.0,0.0,385.0
63149,0.0,0.0,138.0
63148,0.0,0.0,0.0
63146,0.0,0.0,0.0
63155,0.0,0.0,550.0
63140,32.9,22.56,0.0
63139,0.0,0.0,586.0
63132,0.0,0.0,0.0
63122,0.0,0.0,0.0
63121,0.0,0.0,0.0
63118,0.0,0.0,112.0
62822,0.0,0.0,49.9976
63193,23.45,0.0,14.0
63169,0.0,0.0,12.94
62821,0.0,0.0,136.0
62815,0.0,0.0,0.0
62809,0.0,168.0,86.0
62806,0.0,0.0,56.0
62805,0.0,200.0,107.0
62813,33.0,30.0,126.62
62824,111.0,173.76,0.0
63113,0.0,43.9,0.0
63110,0.0,56.0,0.0
63109,0.0,111.0,446.0
63105,0.0,137.0,0.0
63099,0.0,0.0,2.0
63077,0.0,0.0,0.0
63051,0.0,0.0,73.75
62897,22.23,0.0,25.68
62896,56.3,338.65,245.6
62849,4.91,90.87,127.0
62793,0.0,0.0,0.0
62792,0.0,0.0,0.0
62788,0.0,0.0,0.0
63783,0.0,0.0,0.0
62759,0.0,0.0,0.0
62754,0.0,0.0,0.0
62737,0.0,0.0,44.0
62733,0.0,0.0,0.0
62722,36.0,101.1,0.0
62710,0.0,0.0,17.95
62682,0.0,368.27,0.0
62692,0.0,0.0,140.0
62688,44.11,0.0,60.07
62734,0.0,0.0,41.03
62689,41.61,0.0,17.65
62673,0.0,0.0,625.0
62645,0.0,50.0,0.0
62770,67.35,58.66,65.31
62569,88.62,26.86,0.0
62567,0.0,253.69,0.0
62545,0.0,133.0,0.0
62544,35.98,60.66,127.63
62526,0.0,0.0,0.0
62524,50.0,300.0,59.0
62520,0.0,0.0,0.0
62519,0.0,380.0,222.89
62518,41.72,13.98,100.54
62515,13.0,198.0,53.1
62514,20.0,0.0,0.0
62516,0.0,0.0,92.71
62656,0.0,0.0,200.29
62487,0.0,0.0,0.0
62483,0.0,0.0,25.57
62482,0.0,0.0,47.13
62481,0.0,50.0,23.575
62480,0.0,50.0,25.0
62479,,,
62504,0.0,564.66,0.0
62687,0.0,306.08,0.0
63782,0.0,0.0,0.0
62278,75.0,100.0,0.0
62241,0.0,865.04,222.08
62181,228.43,23.3,277.56
62170,10.0,205.0,85.0
62223,117.0,290.0,0.0
62136,3.0,180.0,24.2
62123,50.0,250.0,0.0
62122,,,
62117,56.6262,528.07,0.0
62116,150.0,400.0,0.0
62668,37.0,171.0,0.0
62452,21.31,0.0,0.0
62433,0.0,0.0,0.0
62427,0.0,0.0,114.0
62409,0.0,0.0,36.55
62400,0.0,0.0,0.0
62350,20.0,0.0,17.81
62341,0.0,0.0,297.7
62325,0.0,0.0,0.0
62305,52.79,82.48,16.26
62109,43.0,216.0,85.0
62124,0.0,130.0,71.52
62106,2.0,128.29,8.55
62105,0.0,423.15,0.0
62104,50.0,50.0,15.99
62099,0.0,0.0,0.0
62097,0.0,0.0,66.97
62095,181.11,157.54,0.0
62089,11.76,501.0,9.05
62088,91.68,0.0,130.08
62087,0.0,291.55,183.2
62084,0.0,114.4,37.62
62573,0.0,0.0,92.99
62690,154.9949,238.8159,10.57
62513,64.0,295.75,0.0
62079,34.0,61.0,0.0
62073,0.0,120.0,222.08
62072,84.0,680.0,0.0
62035,0.0,70.4,27.5
62029,0.0,0.0,0.0
63840,0.0,300.0,0.0
63833,,,32.24
63822,0.0,0.0,47.3
